iter	Passed	Remaining
0	58	58162
1	58	29194
2	58	19523
3	58	14690
4	59	11815
5	59	9881
6	59	8501
7	60	7462
8	60	6665
9	60	6020
10	61	5494
11	61	5055
12	61	4681
13	61	4363
14	62	4089
15	62	3846
16	62	3631
17	63	3440
18	63	3273
19	63	3118
20	63	2978
21	64	2855
22	64	2739
23	64	2633
24	65	2535
25	65	2444
26	65	2362
27	66	2304
28	66	2231
29	66	2162
30	67	2101
31	67	2040
32	67	1984
33	67	1931
34	68	1883
35	68	1835
36	68	1791
37	69	1748
38	69	1711
39	69	1675
40	70	1639
41	70	1604
42	70	1570
43	70	1538
44	71	1507
45	71	1478
46	71	1450
47	71	1423
48	71	1397
49	72	1373
50	72	1349
51	72	1327
52	73	1305
53	73	1284
54	73	1263
55	73	1244
56	74	1224
57	74	1206
58	74	1188
59	74	1172
60	75	1155
61	75	1139
62	75	1123
63	75	1108
64	76	1093
65	76	1079
66	76	1064
67	76	1049
68	76	1035
69	77	1023
70	77	1011
71	77	999
72	77	987
73	78	976
74	78	965
75	78	955
76	78	944
77	79	934
78	79	924
79	79	914
80	79	905
81	80	896
82	80	886
83	80	878
84	80	868
85	80	860
86	81	851
87	81	843
88	81	835
89	81	828
90	82	820
91	82	813
92	82	805
93	82	799
94	83	794
95	83	787
96	84	782
97	84	775
98	84	769
99	84	763
100	85	758
101	85	751
102	85	746
103	85	740
104	86	734
105	86	729
106	86	723
107	86	718
108	87	713
109	87	708
110	87	703
111	88	698
112	88	693
113	88	688
114	88	684
115	89	679
116	89	675
117	89	670
118	89	665
119	90	660
120	90	656
121	90	651
122	90	646
123	90	641
124	91	637
125	91	633
126	91	629
127	91	624
128	92	621
129	92	617
130	92	614
131	92	610
132	93	606
133	93	603
134	93	599
135	93	596
136	94	592
137	94	588
138	94	585
139	94	581
140	94	578
141	95	574
142	95	571
143	95	568
144	95	564
145	96	561
146	96	558
147	96	555
148	96	552
149	96	549
150	97	546
151	97	543
152	97	540
153	97	537
154	98	534
155	98	531
156	98	529
157	98	526
158	99	523
159	99	521
160	99	518
161	99	515
162	99	513
163	100	510
164	100	508
165	100	505
166	100	503
167	101	501
168	101	498
169	101	496
170	101	494
171	102	491
172	102	489
173	102	487
174	102	484
175	103	482
176	103	480
177	103	478
178	103	476
179	104	474
180	104	471
181	104	469
182	104	467
183	104	465
184	105	463
185	105	461
186	105	459
187	106	457
188	106	455
189	106	453
190	106	451
191	106	450
192	107	448
193	107	446
194	107	445
195	108	443
196	108	441
197	108	440
198	108	438
199	109	436
200	109	435
201	109	433
202	110	432
203	110	430
204	110	428
205	110	427
206	111	425
207	111	424
208	111	422
209	111	421
210	112	419
211	112	418
212	112	416
213	113	415
